platform,network,account_name,address,ref_name,ref_address,dec
tranquil finance,Harmony Network,tq1WBTC,0xd9c0d8ad06abe10ab29655ff98dcaaa0e059184a,1WBTC,0x3095c7557bcb296ccc6e363de01b760ba031f2d9,8
tranquil finance,Harmony Network,tq1ETH,0xc63ab8c72e636c9961c5e9288b697ec5f0b8e1f7,1ETH,0x6983d1e6def3690c4d616b13597a09e6193ea013,18
tranquil finance,Harmony Network,tq1USDC,0xca3e902efdb2a410c952fd3e4ac38d7dbdcb8e96,1USDC,0x985458e523db3d53125813ed68c274899e9dfab4,6
tranquil finance,Harmony Network,tq1USDT,0x7af2430eFa179dB0e76257E5208bCAf2407B2468,1USDT,0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f,6
tranquil finance,Harmony Network,tq1DAI,0x49d95736fe7f1f32e3ee5defc26c95ba22834639,1DAI,0xef977d2f931c1978db5f6747666fa1eacb0d0339,18
